Youtuber,subscribers,video views,uploads,category,Country,Abbreviation,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,Gross tertiary education enrollment (%),Unemployment rate,Population,Urban_population,created_year,average_yearly_earnings,average_monthly_earnings
TRANS7 OFFICIAL,25000000,14169516119.0,89179,Entertainment,Indonesia,ID,30800.0,492800.0,369600.0,5900000.0,36.3,4.69,270203917.0,151509724.0,2014.0,3134800.0,261800.0
Anuel AA,25000000,14827085149.0,147,Music,Colombia,CO,71000.0,1100000.0,852400.0,13600000.0,55.3,9.71,50339443.0,40827302.0,2016.0,7226200.0,585500.0
Dan Rhodes,24800000,17387583720.0,1644,Entertainment,United Kingdom,GB,83000.0,1300000.0,995700.0,15900000.0,60.0,3.85,66834405.0,55908316.0,2015.0,8447850.0,691500.0
Yuya,24800000,2588501115.0,672,Howto & Style,Mexico,MX,84.0,1300.0,1000.0,16100.0,40.2,3.42,126014024.0,102626859.0,2009.0,8550.0,692.0
America's Got Talent,24800000,3699352704.0,1894,Entertainment,United States,US,33600.0,537600.0,403200.0,6500000.0,88.2,14.7,328239523.0,270663028.0,2006.0,3451600.0,285600.0
EminemVEVO,24700000,20531704527.0,104,Music,United States,US,34900.0,557800.0,418300.0,6700000.0,88.2,14.7,328239523.0,270663028.0,2009.0,3559150.0,296350.0
Chloe Ting,24700000,2994726412.0,412,Howto & Style,Australia,AU,5800.0,93100.0,69800.0,1100000.0,113.1,5.27,25766605.0,21844756.0,2011.0,584900.0,49450.0
KatyPerryVEVO,24600000,23755792542.0,175,Music,United States,US,22200.0,355800.0,266800.0,4300000.0,88.2,14.7,328239523.0,270663028.0,2009.0,2283400.0,189000.0
Mark Rober,24600000,3647987299.0,120,Science & Technology,United States,US,22200.0,354500.0,265900.0,4300000.0,88.2,14.7,328239523.0,270663028.0,2011.0,2282950.0,188350.0
1theK (ï¿½ï¿½ï¿½ï¿½ï,24500000,23962070944.0,18950,Music,South Korea,KR,26400.0,422300.0,316700.0,5100000.0,94.3,4.15,51709098.0,42106719.0,2011.0,2708350.0,224350.0
Like Nastya AE,24400000,12385924995.0,658,Entertainment,United States,US,42500.0,679500.0,509600.0,8200000.0,88.2,14.7,328239523.0,270663028.0,2018.0,4354800.0,361000.0
Pen Movies,24300000,6608773195.0,1667,Film & Animation,India,IN,23700.0,379400.0,284600.0,4600000.0,28.1,5.36,1366417754.0,471031528.0,2014.0,2442300.0,201550.0
MrBeast en Espaï¿½ï,24200000,2700914170.0,67,Entertainment,Mexico,MX,8400.0,134400.0,100800.0,1600000.0,40.2,3.42,126014024.0,102626859.0,2021.0,850400.0,71400.0
shfa show India,24200000,15724160183.0,469,People & Blogs,United Arab Emirates,AE,37800.0,604800.0,453600.0,7300000.0,36.8,2.35,9770529.0,8479744.0,2019.0,3876800.0,321300.0
Super JoJo - Nursery Rhymes & Kids Songs,24100000,329774870.0,36,Education,United States,US,82100.0,1300000.0,985500.0,15800000.0,88.2,14.7,328239523.0,270663028.0,2019.0,8392750.0,691050.0
Alejo Igoa,24100000,10999000479.0,802,Comedy,Argentina,AR,100400.0,1600000.0,1200000.0,19300000.0,90.0,9.79,44938712.0,41339571.0,2014.0,10250000.0,850200.0
netd mï¿½ï¿,24100000,56106087508.0,23491,Music,Turkey,TR,106200.0,1700000.0,1300000.0,20400000.0,23.9,13.49,83429615.0,63097818.0,2014.0,10850000.0,903100.0
DJ Snake,24100000,8425505919.0,252,Music,United States,US,15800.0,253200.0,189900.0,3000000.0,88.2,14.7,328239523.0,270663028.0,2008.0,1594950.0,134500.0
KSI,24100000,6002166932.0,1252,Entertainment,United Kingdom,GB,1400.0,21800.0,16300.0,261100.0,60.0,3.85,66834405.0,55908316.0,2009.0,138700.0,11600.0
Spider Slack,24000000,13943030228.0,901,Comedy,Brazil,BR,190400.0,3000000.0,2300000.0,36500000.0,51.3,12.08,212559417.0,183241641.0,2020.0,19400000.0,1595200.0
Preston,24000000,8279004442.0,4009,Gaming,United States,US,37900.0,606800.0,455100.0,7300000.0,88.2,14.7,328239523.0,270663028.0,2012.0,3877550.0,322350.0
James Charles,23900000,4067878931.0,505,Entertainment,United States,US,14500.0,232500.0,174400.0,2800000.0,88.2,14.7,328239523.0,270663028.0,2015.0,1487200.0,123500.0
Collins Key,23900000,6582932625.0,257,Entertainment,United States,US,2700.0,43400.0,32600.0,520900.0,88.2,14.7,328239523.0,270663028.0,2011.0,276750.0,23050.0
Diana and Roma EN,23900000,7213499085.0,511,People & Blogs,United States,US,44400.0,711100.0,533300.0,8500000.0,88.2,14.7,328239523.0,270663028.0,2011.0,4516650.0,377750.0
Troom Troom,23800000,10414479943.0,2425,Howto & Style,United States,US,24500.0,392200.0,294200.0,4700000.0,88.2,14.7,328239523.0,270663028.0,2015.0,2497100.0,208350.0
Enrique Iglesias,23800000,17688774915.0,443,Music,United States,US,30700.0,491700.0,368700.0,5900000.0,88.2,14.7,328239523.0,270663028.0,2007.0,3134350.0,261200.0
Ninja,23700000,2543809954.0,1732,Gaming,United States,US,2100.0,33500.0,25100.0,401700.0,88.2,14.7,328239523.0,270663028.0,2011.0,213400.0,17800.0
FaZe Rug,23700000,7451792132.0,0,Gaming,Canada,CA,0.0,0.0,0.0,0.0,68.9,5.56,36991981.0,30628482.0,2012.0,0.0,0.0
Mister Max,23700000,15510153803.0,1099,People & Blogs,United Kingdom,GB,8200.0,131300.0,98400.0,1600000.0,60.0,3.85,66834405.0,55908316.0,2014.0,849200.0,69750.0
That Little Puff,23700000,20289689389.0,769,Pets & Animals,United States,US,188800.0,3000000.0,2300000.0,36200000.0,88.2,14.7,328239523.0,270663028.0,2020.0,19250000.0,1594400.0
Juan De Dios Pantoja,23600000,2135644776.0,226,Entertainment,Mexico,MX,11700.0,187400.0,140600.0,2200000.0,40.2,3.42,126014024.0,102626859.0,2014.0,1170300.0,99550.0
Logan Paul,23600000,5994002464.0,719,Entertainment,United States,US,2700.0,43200.0,32400.0,518600.0,88.2,14.7,328239523.0,270663028.0,2015.0,275500.0,22950.0
Maya and Mary,23600000,6766461070.0,552,Entertainment,United States,US,11100.0,178200.0,133600.0,2100000.0,88.2,14.7,328239523.0,270663028.0,2013.0,1116800.0,94650.0
